Property Name,Data Type,Description,Services,Service Count
approveMsTeamsTemplate,JSON,Defines MS Teams template for approval notifications.,VMS,1
approverPersonaEmails,JSON,-,Booking Rule Engine,1
appVersionSupportedAndroid,STRING,-,"App Server Config, App Server Config (.in)",2
appVersionSupportedIOS,STRING,-,"App Server Config, App Server Config (.in)",2
attendanceManagementDisabled,BOOLEAN,-,Booking Rule Engine,1
AUDIT_HISTORY,BOOLEAN,Enable Audit history on Sidenav.,PMS,1
autoAbsentHours,INTEGER,-,Booking Rule Engine,1
autoAllocate,BOOLEAN,Enables automatic desk allocation during bulk booking upload.,"Booking Rule Engine, Emp Exp Common Config",2
autoApprovalConfig,JSON,Config for auto approval.,Booking Rule Engine,1
autoApprovalTime,INTEGER,Auto approval of resource.,Booking Rule Engine,1
autoApproveEnabled,BOOLEAN,-,Booking Rule Engine,1
autoCheckinEnableFloorKiosk,LIST,Allow auto-checkin to the booking created from floor kiosk if the following logic stands true.,Booking Rule Engine,1
autoClockOutRemainder,BOOLEAN,Sends reminder notification before auto-checkout triggers.,Emp Exp Common Config,1
autoClockOutRemainderMinutes,DOUBLE,Defines minutes before logout when reminder notification is triggered.,Emp Exp Common Config,1
autoExpireBeforeNoOfdays,INTEGER,-,"Booking Rule Engine, WIS Seat Booking",2
autoExpireHour,STRING,Defines at what period hour your booking request expires,"Booking Rule Engine, WIS Seat Booking",2
autofillCustomFields,BOOLEAN,Auto-populates custom fields for returning visitors.,VMS,1
autoLogoutEnabled,BOOLEAN,Enables automatic sign-out after configured duration.,Emp Exp Common Config,1
autoLogoutMinutes,INTEGER,Defines minutes after planned checkout for auto-checkout trigger.,"Booking Rule Engine, Emp Exp Common Config",2
autoPopulateBookingForm,BOOLEAN,Auto-populates booking form using preferences or past data.,Emp Exp Common Config,1
autoPopulateSchedulingForm,BOOLEAN,autoPopulateSchedulingForm,Emp Exp Common Config,1
autoProvisionEnabled,BOOLEAN,Automatically marks all employees as onboarded during bulk onboarding.,"Emp Exp Common Config, Emp Exp Internal Config",2
autoRejectionForOptIn,BOOLEAN,-,Emp Exp Common Config,1
autoRequestApprovalEnabled,BOOLEAN,Controls whether booking requests are automatically approved without manual intervention.,"Booking Rule Engine, WIS Seat Booking",2
autoSeatCheckOutEnabled,BOOLEAN,Enables auto seat checkout.,Emp Exp Common Config,1
autoSeatCheckOutMinutes,DOUBLE,Defines auto seat checkout duration.,Emp Exp Common Config,1
autoSlotAllocate,BOOLEAN,Automatically allocates parking slots without manual slot selection.,"Booking Rule Engine, Emp Exp Common Config",2
autoTagAssignmentMapping,JSON,Automatically assigns tags based on employee designation.,Emp Exp Common Config,1
averageOverallTripFeedbackCalculation,BOOLEAN,-,Emp Exp Common Config,1
B2B2C,JSON,-,"App Server Config, App Server Config (.in)",2
bannerEndTime,STRING,-,Emp Exp Common Config,1
bannerNativeRoomEmail,BOOLEAN,Controls native banner visibility in room emails.,Emp Exp Common Config,1
bannerNewRoomBookingEmpHome,STRING,Defines banner text for New Room booking page.,Emp Exp Common Config,1
bannerStartTime,STRING,-,Emp Exp Common Config,1
beginHour,INTEGER,"This configuration defines the begin time of the bookable time in the meeting rooms timeline - room level configuration. Integer value, 0-24.",Meeting Rooms,1
blacklistKioskPopup,JSON,Defines heading and subheading for blacklist popup on kiosk.,VMS,1
BLOCK_CALENDAR_FOR_X_MINS,INTEGER,"Controls how long the room's calendar is blocked around a meeting, in minutes.",Meeting Rooms,1
blockChecinOutsideGeofence,BOOLEAN,-,Emp Exp Common Config,1
blockDelegationEmail,BOOLEAN,Blocks delegation email notifications.,Emp Exp Common Config,1
blockGenerateDigiPassOnSeatMandatory,BOOLEAN,Blocks DigiPass generation when seat is mandatory.,"Booking Rule Engine, Emp Exp Common Config",2
blockNumber,STRING,Controls Block number field visibility.,Emp Exp Common Config,1
blockOfficeCheckingIfNoBooking,BOOLEAN,Blocks office check-in without booking.,Emp Exp Common Config,1
blockUserIfNotVaccinated,BOOLEAN,Blocks non-vaccinated users from making bookings when enabled.,"Booking Rule Engine, Emp Exp Common Config",2
booker,STRING,-,Booking Rule Engine,1
BOOKING,JSON,"This property controls app-side configs for seat and WFH booking rules, checkin cutoff timings, permissions, eligibility settings, and feature configurations within the booking module.","App Server Config, App Server Config (.in)",2
BOOKING_AGGREGATES_MIGRATION_BUIDS,LIST,List of buids that requires migration of booking aggregates.,Emp Exp Common Config,1
BOOKING_AGGREGATES_MIGRATION_DELAY_SECONDS,INTEGER,Time delay between migration of buids in booking aggregates.,Emp Exp Common Config,1
BOOKING_AGGREGATES_MIGRATION_ENABLED,BOOLEAN,Checks if migration is enabled for booking aggregates.,Emp Exp Common Config,1
BOOKING_AGGREGATES_MIGRATION_TIMEZONES,LIST,-,Emp Exp Common Config,1
BOOKING_APPROVAL,BOOLEAN,Enables the Booking Approval page.,PMS,1
BOOKING_HISTORY,BOOLEAN,Enables booking history option on web.,"Emp Exp Common Config, PMS",2
BOOKING_UPLOAD_ENABLED,BOOLEAN,Enables Booking bulk upload option.,PMS,1
bookingApprovalEmailsEnabled,BOOLEAN,Controls whether email notifications are sent for booking approvals.,"Booking Rule Engine, WIS Seat Booking",2
bookingCancellationReasons,LIST,Defines cancellation reason list.,Emp Exp Common Config,1
bookingConversionCutOff,DOUBLE,Defines cutoff time for WFH to WFO and vice versa conversion.,Emp Exp Common Config,1
bookingCreationMessage,STRING,Defines booking success message.,Emp Exp Common Config,1
bookingDisclaimers,JSON,Configures booking disclaimer messages.,Emp Exp Common Config,1
bookingEditCutOff,DOUBLE,-,Booking Rule Engine,1
bookingEnabledOnTag,BOOLEAN,"Controls whether booking is allowed based on a tag (e.g., even on weekly off, allow booking for employees/resources carrying a specific tag).","Emp Exp Common Config, Emp Exp Internal Config",2
bookingForNonRegisteredEmpBySpoc,BOOLEAN,-,PMS,1
bookingLogoutEditCutOff,DOUBLE,-,Booking Rule Engine,1
bookingPerDayEmp,DOUBLE,-,Booking Rule Engine,1
bookingRequestApprovalFlowEnabled,BOOLEAN,Controls whether the booking request approval workflow is enabled.,"Booking Rule Engine, Emp Exp Common Config, WIS Seat Booking",3
bookingRuleEngine,STRING,Defines Booking Rule Engine URL.,Emp Exp Common Config,1
bookingsTypesForCheckinReminder,LIST,Defines booking types eligible for check-in reminder.,Emp Exp Common Config,1
bufferTimeInSecondsOfAarogyaSetuUser,INTEGER,Controls the buffer time in seconds applied to Aarogya Setu user validation (covid feature).,"Emp Exp Common Config, Emp Exp Internal Config",2
buidsEnabledForPMS,LIST,-,Booking Rule Engine,1
buidsEnabledForSeatBookingPMS,LIST,Defines service availaibility on PMS,WIS Seat Booking,1
BUILDING_PREMISE_NAME,STRING,"On stratus sites, it controls the name of the entity on outlook",Meeting Rooms,1
BULK_OPERATION_VISITOR_BOOKING,BOOLEAN,Enables bulk upload of visitor lists on the Invite Visitor page.,"PMS, VMS",2
BULK_UPLOAD_ENABLED,BOOLEAN,Enables the room bulk upload option in the Meeting Rooms Settings page,Meeting Rooms,1
BULK_UPLOAD_HEADERS,LIST,"Defines the column headers for meeting room bulk upload, this cannot be changed. Do not alter this.",Meeting Rooms,1
bulkScheduleAllowedDaysForRoom,DOUBLE,Defines bulk room scheduling window.,Emp Exp Common Config,1
BUSINESS_UNIT_CITY_MAPPING,JSON,-,App Server Config,1
CAB_ARRIVAL_MESSAGE_FOR_NOTIFICATION,STRING,-,Email Emp Experience,1
CAB_ARRIVAL_TITLE_FOR_NOTIFICATION,STRING,-,Email Emp Experience,1
cabArrivalIVR,JSON,-,Emp Exp Internal Config,1
cacheTimeInHoursOfAarogyaSetuUserStatus,INTEGER,Controls the cache duration in hours for Aarogya Setu user status (covid feature).,"Emp Exp Common Config, Emp Exp Internal Config",2
CANCEL_EVENT_PIN_VERIFICATION_ENABLE,BOOLEAN,Enables secure cancellation or ending of meetings via meeting room kiosk using OTP verification.,Meeting Rooms,1
cancelInviteMsTeamTemplateForHost,JSON,Defines MS Teams template for host when invite is canceled.,VMS,1
cancelInviteNotifications,LIST,Notifies host when invite is canceled from Front Desk.,VMS,1
CANCELLATION_REMINDER_NOTIFICATION,BOOLEAN,Enables cancellation reminder notifications.,Emp Exp Common Config,1
cancelSchedulesEnabled,BOOLEAN,Defines whether it should allow cancellation of commute service,"Booking Rule Engine, WIS Seat Booking",2
cancelTransportBooking,BOOLEAN,Allows transport booking cancellation.,Emp Exp Common Config,1
canteenKioskConfigs,JSON,Contains all the configs related for Canteen Kiosk,VMS,1
captureEmployeeBookingStats,BOOLEAN,Enables booking statistics capture.,Emp Exp Common Config,1
CARBON_SAVINGS_CONTENT,JSON,The property will define the context shown to the user on the basis of their carbon savings,"App Server Config, App Server Config (.in)",2
CATERING_AUDIT_HISTORY,BOOLEAN,Enables audit history for Catering Orders.,PMS,1
CATERING_DASHBOARD,BOOLEAN,Enables the Catering Dashboard in the sidenav.,PMS,1
CATERING_ORDER_STATUS_LIST,JSON,"This property pertains to the catering feature within the Meeting Rooms module. It allows administrators to define the various statuses that can be assigned to catering orders on the catering dashboard. Recognizing that terminology may differ across organizations, this list is configurable to accommodate specific needs. The sequence of statuses specified here will directly reflect the order in which they appear on the catering dashboard.",Meeting Rooms,1
cateringLimits,LIST,Defines cut-off times for modifying or cancelling catering orders based on participant count.,Meeting Rooms,1
checkInBookingsType,LIST,Controls which booking types are auto-checked-in together when one check-in action happens.,"Emp Exp Common Config, Guard App",2
checkinBufferFromKiosk,INTEGER,Defines buffer time (in minutes) for active booking check-in via kiosk.,VMS,1
checkInByTimeChip,BOOLEAN,True - Show the check-in-by chip and chevron to provide users with detailed check-in times. False - Do not show the check-in-by chip or the chevron on booking cards.,Emp Exp Common Config,1
checkInFirstPremise,BOOLEAN,-,Booking Rule Engine,1
checkinReminderCutoffInMinute,DOUBLE,Defines when check-in reminder notification is sent.,Emp Exp Common Config,1
checkInWithoutAarogyasetuValidation,BOOLEAN,Allows check-in without Aarogya Setu validation.,"Booking Rule Engine, Emp Exp Common Config",2
CheckOutCTARooms,BOOLEAN,Controls the visibility of the checkout button against room bookings. Not dependent on checkin button.,Meeting Rooms,1
checkoutOnFDEmployee,BOOLEAN,Shows checkout CTA for employee flow on Front Desk.,VMS,1
checkoutPageRedirectionTimeout,INTEGER,Defines redirection timeout (in minutes) after self check-in completion.,VMS,1
checkTransportCutoffForBookingEdit,BOOLEAN,-,Booking Rule Engine,1
CITY_DISTRICT_MAPPINGS,JSON,-,Emp Exp Common Config,1
CLICK_TO_CALL,JSON,-,"App Server Config, App Server Config (.in)",2
colorVCStatsIconsKiosk,STRING,Meeting Rooms Kiosk - Defines the color for the VC stats displayed on the kiosk screen.,Meeting Rooms,1
commentsMandatoryOnRating,DOUBLE,-,Emp Exp Common Config,1
COMMUNICATION_CONSOLE_ENABLED,BOOLEAN,Enables the Broadcast feature.,PMS,1
COMMUNICATIONREGISTRY,JSON,-,"App Server Config, App Server Config (.in)",2
commuteMandatory,BOOLEAN,Requires users to select either parking or transport while creating an office booking to prevent resource-less bookings.,Emp Exp Common Config,1
CONFIGURABLEFEATURE,JSON,-,"App Server Config, App Server Config (.in)",2
configuration.registration.dashboard,STRING,Controls whether the employee self-registration experience is exposed via the dashboard for a given site/BUID.,PMS,1
CONFIGURATIONS_ENABLED,BOOLEAN,Enables the Configurations page under Settings.,PMS,1
configureVisitorKiosk,BOOLEAN,Controls visibility of Configure Visitor Kiosk button on Front Desk.,VMS,1
confirmationMessageForLogoutTracking,STRING,-,Emp Exp Common Config,1
CONSENT_TYPE,STRING,Defines consent type configuration at admin or user level.,Meeting Rooms,1
consentCheckboxContentSafeReach,STRING,Defines consent checkbox content for Safe Reach kiosk.,VMS,1
consentPopupData,LIST,Defines consent popup configuration.,Emp Exp Common Config,1
contactTHDReasons,LIST,-,Emp Exp Common Config,1
controlSearchSections,LIST,Controls visibility of sections in Front Desk search dropdown.,VMS,1
Cost_Center_Catering,BOOLEAN,Catering workflow - Controls cost center field availability for catering requests workflow,Meeting Rooms,1
Cost_Center_Max_Len,INTEGER,Catering workflow - Defines maximum character limit for cost center input.,Meeting Rooms,1
Cost_Center_Min_Len,INTEGER,Catering workflow - Defines minimum character limit for cost center input.,Meeting Rooms,1
countBookingBySomeOneElseAsEmployeeBooking,BOOLEAN,-,Booking Rule Engine,1
COUNTRY_CODES_FOR_WHATSAPP_OTP,LIST,-,App Server Config,1
Create_Meeting_Room,BOOLEAN,Controls visibility of the Create Room button in the Meeting Rooms settings page.,"Meeting Rooms, PMS",2
CREATE_PREMISE_IF_IT_DOESNT_EXIST,BOOLEAN,"Allows the system in creation of premise, if premise does not exist",Meeting Rooms,1
createBookingAfterSignedOut,BOOLEAN,-,Booking Rule Engine,1
createBookingWhenCheckinReceived,BOOLEAN,-,Booking Rule Engine,1
createSeatBookingWithOfficeBooking,BOOLEAN,Auto-creates seat booking with office booking.,Emp Exp Common Config,1
creatorNotifications,JSON,Controls creator notifications (backend property).,VMS,1
crossHierarchyAllocationEnabled,BOOLEAN,Defines if cross hierarchy allocation is allowed for RBAC enabled sites.,Emp Exp Common Config,1
crossTeamAllocationEnabled,BOOLEAN,Allows cross-team desk and employee allocation.,Emp Exp Common Config,1
customPlannerViewEnabled,BOOLEAN,-,Booking Rule Engine,1
CutOffTimeBetweenBookingsOnSeatInMinute,INTEGER,Defines minimum gap between consecutive bookings on the same seat.,"Booking Rule Engine, Emp Exp Common Config",2
cutoffTimeBetweenWISAppFeedback,JSON,Defines minimum time gap between feedback prompts.,Emp Exp Common Config,1
cutoffTimeForSkipWISAppFeedback,INTEGER,Defines the interval (in hours) after which the internal app feedback will appear post booking creation.,"Emp Exp Common Config, Emp Exp Internal Config",2
dashboard,BOOLEAN,Enables the Dashboard option under Team Manager Dashboard.,PMS,1
DASHBOARD_ENABLED,BOOLEAN,Enables the Home Dashboard.,PMS,1
DATE_FORMAT,STRING,Defines date format for UI.,Emp Exp Common Config,1
DATE_FORMAT_SERVICES,STRING,Defines date format for backend services.,Emp Exp Common Config,1
DEACTIVATION_TYPE,STRING,Control the action of deactivation of meeting room,Meeting Rooms,1
defaulBookingHoursIfExtCheckin,DOUBLE,-,Booking Rule Engine,1
defaultAdvanceBookingLimitForBypass,INTEGER,Defines the threshold for the Advance Booking Limit bypass privilege.,Meeting Rooms,1
DefaultEndTimeOfEmployeeBooking,INTEGER,Defines default end time for employee booking.,VMS,1
defaultInviteTitle,STRING,Defines default title for Invite Form.,VMS,1
defaultKioskBookingDurationInMinutes,INTEGER,Defines fixed visit duration for each visitor check-in.,VMS,1
defaultLogoutShiftMinutes,INTEGER,Auto-populates checkout time based on configured duration after check-in selection.,"Booking Rule Engine, Emp Exp Common Config",2
defaultMaxDurationForBypass,INTEGER,Defines the threshold for the maximum duration bypass privilege.,Meeting Rooms,1
defaultVisitTypeSelection,BOOLEAN,Controls default selection behavior for Type of Visit field.,VMS,1
defLogoutDuration,DOUBLE,-,Booking Rule Engine,1
defOnCallLogoutDurationInMinute,INTEGER,-,Booking Rule Engine,1
defWfhLogoutDurationInMinute,INTEGER,-,Booking Rule Engine,1
delegation,JSON,Enables the Delegation feature in the sidenav.,PMS,1
delegatorDelegateeEmailsEnabled,BOOLEAN,Sends email notification to delegator.,Emp Exp Common Config,1
deleteFutureSchedulesOnDeactivation,BOOLEAN,-,Booking Rule Engine,1
DESK_AUDIT,BOOLEAN,Enables Desk Audit section.,PMS,1
DESK_TAGGING_ENABLED,BOOLEAN,Enables the Desk Tagging feature.,PMS,1
deskTagHeaders,LIST,Headers for desk tag,WIS Seat Booking,1
DEVICECONFIGURATIONS,JSON,"This property controls mobile device authentication, SSO settings, session expiry rules, app security options, and related access configurations.","App Server Config, App Server Config (.in)",2
digipass,LIST,Controls DigiPass visibility across email and badge channels.,VMS,1
digipassAutoSend,BOOLEAN,Automatically sends DigiPass.,VMS,1
digipassAutoSendBuffer,INTEGER,Defines buffer time for sending DigiPass after booking creation.,VMS,1
directCheckinEndCutOffInMinute,DOUBLE,Defines end cutoff for direct check-in.,Emp Exp Common Config,1
directCheckinExpiryInMinute,DOUBLE,Defines expiry time for direct check-in.,Emp Exp Common Config,1
directCheckinStartCutOffInMinute,DOUBLE,Defines start cutoff for direct check-in.,Emp Exp Common Config,1
DIRECTION,STRING,-,Emp Exp Common Config,1
disableWfhWfoOverlapping,BOOLEAN,-,Booking Rule Engine,1
districts,LIST,-,Emp Exp Internal Config,1
DYNAMIC_TRIP_FEEDBACK_URL,STRING,-,"App Server Config, App Server Config (.in)",2
dynamicData,LIST,Defines configurable dynamic fields displayed in the booking form.,WIS Seat Booking,1
DynamicData,LIST,Defines dynamic field setup for seat booking,WIS Seat Booking,1
dynamicDataForDesk,JSON,-,Booking Rule Engine,1
dynamicFieldLabel,JSON,Customizes the label text for the meeting request section on meeting booking form.,Meeting Rooms,1
dynamicFieldNameOnBookingForm,STRING,Dynamic fields name description.,Booking Rule Engine,1
dynamicFieldOnRooms,BOOLEAN,Displays dynamic fields during meeting room creation - i.e Meeting Rooms request section,Meeting Rooms,1
DynamicFields,LIST,Not in use.,VMS,1
dynamicFieldsConfigForRooms,LIST,This controls the dynamic fields aka custom fields for the catering workflow where we can define different types of fields - their header and the type of input values. You can find the output of this dynamic field configuration under Delivery instructions of the catering workflow on both the web and Outlook Add-In,Meeting Rooms,1
dynamicFieldUserEmails,LIST,Defines email recipients for dynamic field notifications.,Meeting Rooms,1
EAManager,LIST,Configures EAManager role access.,PMS,1
editProfileEnabled,BOOLEAN,Controls profile editing.,Emp Exp Common Config,1
email,STRING,Controls whether the Email field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
emailBookingMessage,STRING,-,Booking Rule Engine,1
emailListToAdmin,LIST,Defines email list for admin notes.,VMS,1
emailListToReceptionist,LIST,Defines email list for receptionist/security notes.,VMS,1
emailsForApprovalFlowRequest,LIST,-,Booking Rule Engine,1
empExp,STRING,Defines primary Employee Experience URL.,Emp Exp Common Config,1
empExpUi,STRING,Defines Employee Experience UI URL.,Emp Exp Common Config,1
empexpUI,STRING,Defines Employee Experience interface URL.,Emp Exp Common Config,1
empHomepageTodaysAvailabilityCard,BOOLEAN,"Once enabled, the user must see the complete availability card; modules inside the card will be visible based on whether the respective module is enabled for the user's office.","Booking Rule Engine, Emp Exp Common Config",2
empHomeWidgetMeetingRoomCheckInCutOff,INTEGER,Defines check-in cutoff for meeting room check-in from Employee Home widget.,Emp Exp Common Config,1
empID,STRING,Controls whether the Employee ID field is shown or hidden during employee profile validation.,Emp Exp Common Config,1
employee,LIST,Configures ETS Employee role access.,PMS,1
EMPLOYEE,LIST,Configures WIS Employee role access.,PMS,1
EMPLOYEE_CHECKIN,BOOLEAN,Enables the My Bookings page in the sidenav.,PMS,1
EMPLOYEE_PROFILE_AUDIT,BOOLEAN,Enables Employee Profile audit history under Audit History section on sidenav.,PMS,1
EMPLOYEE_TAGGING_ENABLED,BOOLEAN,Enables the Employee Tagging feature.,PMS,1
EMPLOYEE_WEB_EXPERIENCE,BOOLEAN,Enables the Employee Home page for specified roles.,PMS,1
employeeCancelCutOff,INTEGER,-,Booking Rule Engine,1
employeeCheckinMsTeamsTemplateAdmin,JSON,Defines MS Teams template for admin employee check-in notifications.,VMS,1
employeeCheckinMsTeamsTemplateCreator,JSON,Defines MS Teams template for employee self check-in notifications.,VMS,1
employeeCheckoutPrompt,LIST,Defines confirmation modal checklist for employee checkout.,VMS,1
employeeDeactivationEmailSubject,STRING,-,Email Emp Experience,1
employeeEndTimeBookingCutoff,INTEGER,-,Booking Rule Engine,1
employeeEndTimeScheduleCutoff,INTEGER,-,Booking Rule Engine,1
employeeFaceOnboardingForRecognition,BOOLEAN,Onboards employee photos into face recognition service.,VMS,1
employeeFloorPlanUrl,STRING,Defines Employee Floor Plan URL.,Emp Exp Common Config,1
employeeFlowWithoutVisitor,BOOLEAN,enabling employee flow without visitor,VMS,1
employeePIIMasking,LIST,Configures selective masking of PII fields and visual security settings.,Emp Exp Common Config,1
EMPLOYEES_ENABLED,BOOLEAN,Enables the People > Employees page.,PMS,1
employeeScheduleCutoff,INTEGER,-,Booking Rule Engine,1
employeeStatusModuleEnabled,BOOLEAN,"When set true, starts using configuration under employeeStatusList.","Emp Exp Common Config, Emp Exp Internal Config",2
employeeTagHeaders,LIST,Headers for employee tag,WIS Seat Booking,1
ENABLE_AUTO_MEETING_ROOM_SYNC,BOOLEAN,Automatically runs meeting room sync when enabled.,Meeting Rooms,1
ENABLE_CHECKIN_NOTIFICATION,BOOLEAN,Master switch to enable check-in notifications.,Emp Exp Common Config,1
ENABLE_HELP_SECTION,BOOLEAN,Enables the Help section in the sidenav.,PMS,1
ENABLE_HIERARCHY_PAGE,BOOLEAN,Enables the People > Hierarchy page in the sidenav.,PMS,1
ENABLE_INDOOR_NAVIGATION,BOOLEAN,Enables wayfinding/navigation to desks.,Emp Exp Common Config,1
ENABLE_MEETING_CATERING,BOOLEAN,"Catering workflow - Enables catering functionality in meeting rooms, to see the Catering Request option in room booking form.","Meeting Rooms, PMS",2
ENABLE_MIS,BOOLEAN,Enables the switch to ETS option in the sidenav for a specific role.,PMS,1
ENABLE_TAG_MANAGEMENT,BOOLEAN,Activates self-service Tag Management module on sidenav.,PMS,1
ENABLE_WIS,BOOLEAN,Enables the WorkInSync button in the Transport Dashboard.,PMS,1
ENABLE_WITH_PRINCIPAL_NAME,BOOLEAN,Uses email prefix as visitor name when name is unavailable.,Meeting Rooms,1
enableAutoAbsentNotification,BOOLEAN,Sends notification when a booking results in no-show.,Emp Exp Common Config,1
enableBlacklistVisitorProfiles,BOOLEAN,Enables visitor blacklist feature.,VMS,1
enableBookingCancellationReasonsFor,LIST,Requires cancellation reason for specified booking types.,Emp Exp Common Config,1
enableBookingEmail,BOOLEAN,Enables booking details email notification.,"Booking Rule Engine, Emp Exp Common Config",2
enableBookingsOnHolidays,BOOLEAN,-,Booking Rule Engine,1
enableCalendarInvite,BOOLEAN,Creates calendar event in host email upon invite creation.,VMS,1
enableCarbonFootprintTrackingInParking,BOOLEAN,Enables carbon footprint tracking for employee commutes and displays emissions metrics.,"Emp Exp Common Config, Guard App",2
enableCheckInForMeetingRoom,BOOLEAN,Enables meeting room check-in button on the web and app.,Meeting Rooms,1
