Property Name,Data Type,Description
HOST_POLICY_HEADER,STRING,Adds a customizable host policy header.
isVisitorCheckinMsTeamsNotificationEnabled,BOOLEAN,Enables visitor check-in notifications via email and MS Teams.
forms_configurations,JSON,Controls belongings configuration for VMS self check-in flow.
visitorWidgetEnabled,BOOLEAN,Controls visibility of VMS widget on Employee Home.
visitorBulkUploadFields,JSON,Defines headers and default values for visitor bulk upload.
showDelegateeBookForSomeoneElse,LIST,Displays delegatees in host search for booking on behalf.
approveMsTeamsTemplate,JSON,Defines MS Teams template for approval notifications.
externalEmailIdsToTriggerOnVisitorCheckin,LIST,Not in use.
formsMetaDataForHostPWC,JSON,Handles host-side custom fields and belongings in invited flow (PWC).
sendHostMsTeamsNotificationToDelegate,BOOLEAN,Controls whether MS Teams notifications are sent to delegate.
visitorFormsMetaData,LIST,Not in use.
overStayAlertRecipients,LIST,Defines recipient list for overstay alerts.
visitorFormsMetaDataPWC,LIST,Handles profile and custom fields in VMS self check-in flow (PWC).
emailListToReceptionist,LIST,Defines email list for receptionist/security notes.
emailListToAdmin,LIST,Defines email list for admin notes.
isVisitorCheckoutMsTeamsNotificationEnabled,BOOLEAN,Controls visitor check-out notifications on MS Teams.
visitorCheckoutMsTeamsTemplate,JSON,Defines MS Teams template for visitor check-out notification.
noteToFrontDesk,BOOLEAN,Enables optional notes to receptionist/security via email.
notesToAdmins,BOOLEAN,Enables optional notes to admins via email.
formsMetaDataForVisitorPWC,JSON,Handles visitor-side custom fields and belongings in invited flow (PWC).
profileFieldsMetaData,LIST,Handles profile fields configuration for invited flow.
overStayAlertMsTeamsTemplate,JSON,Defines MS Teams template for overstay alerts.
triggerVisitorEmailsFromRooms,BOOLEAN,Controls visitor email triggers in Meeting Rooms workflow.
printerConnectionModes,LIST,Defines available printer connection modes.
enableOTPValidationSelfCheckin,BOOLEAN,Enables OTP validation on kiosk.
enableOTPValidationSelfCheckinList,LIST,Enables OTP validation in kiosk self check-in flow.
ndaCheckboxContent,STRING,Defines content displayed below NDA checkbox.
DefaultEndTimeOfEmployeeBooking,INTEGER,Defines default end time for employee booking.
safeReachConsentContent,STRING,Defines consent statement with checkbox in Safe Reach kiosk form.
vmsInviteTrigger,LIST,Triggers visitor invite based on configured list.
formsMetaDataForWalkIn,JSON,Handles custom fields and belongings for Walk-in flow.
autofillCustomFields,BOOLEAN,Auto-populates custom fields for returning visitors.
Print_Visitor_Badge,BOOLEAN,Enables Print Badge button on Front Desk dashboard.
cancelInviteNotifications,LIST,Notifies host when invite is canceled from Front Desk.
Visitor_Profile_ID_Document_Upload_Field_Inputs,LIST,Defines allowed document types for visitor upload.
DynamicFields,LIST,Not in use.
VISITOR_DIGIPASS,BOOLEAN,Not in use.
qrCheckInBufferTime,INTEGER,Defines buffer time (in minutes) before booking start when QR check-in is allowed.
cancelInviteMsTeamTemplateForHost,JSON,Defines MS Teams template for host when invite is canceled.
addCustomFieldsWithVisitorBulkUpload,BOOLEAN,Adds custom fields to visitor bulk upload headers.
defaultVisitTypeSelection,BOOLEAN,Controls default selection behavior for Type of Visit field.
controlSearchSections,LIST,Controls visibility of sections in Front Desk search dropdown.
BULK_OPERATION_VISITOR_BOOKING,BOOLEAN,Enables visitor bulk operation.
addCustomFieldsForBulkUpload,BOOLEAN,Determines whether custom fields are included in bulk upload header.
addRoomWithVisitorBulkUpload,BOOLEAN,Adds room details to visitor bulk upload headers.
externalNotifications,JSON,Controls external notifications (backend property).
enabledBuidForVisitorConfigs,LIST,Enables visitor notification page.
hostNotifications,JSON,Controls host notifications (backend property).
notificationMetaData,JSON,Defines metadata configuration for notification page.
creatorNotifications,JSON,Controls creator notifications (backend property).
notificationConfigs,JSON,Defines notification page configuration values.
checkoutOnFDEmployee,BOOLEAN,Shows checkout CTA for employee flow on Front Desk.
employeeCheckoutPrompt,LIST,Defines confirmation modal checklist for employee checkout.
enableScrollToConsentEnforcement,BOOLEAN,This property controlled whether user have to scroll till end to enable the CTA's or not
SafeReachInputFields,LIST,Defines customizable fields in Safe Reach form.
ndaScreenHeader,STRING,This property controlled nda screen header text
enableOtpOverride,BOOLEAN,Enables OTP override flow on VMS kiosk.
finalScreenCTATextSelfCheckInFlow,JSON,This property controlled what to show as the end button text in different flows
digipassAutoSend,BOOLEAN,Automatically sends DigiPass.
digipassAutoSendBuffer,INTEGER,Defines buffer time for sending DigiPass after booking creation.
FDReportColumnsVisitor,JSON,Defines configurable columns for Visitor Front Desk report.
FDReportColumnsEmployee,JSON,Defines configurable columns for Employee Front Desk report.
employeeFlowWithoutVisitor,BOOLEAN,enabling employee flow without visitor
vendorKioskConfigs,JSON,Contains all the configs related for Vendor Kiosk
canteenKioskConfigs,JSON,Contains all the configs related for Canteen Kiosk
visitorKioskConfigs,JSON,Handles UI formatting for VMS self check-in flow.
frontDeskColumns,LIST,Controls column dropdown configuration on Front Desk.
absoluteVisitDurationHours,LIST,This is list of option for time duration selection in vms kiosk in min
NDA,BOOLEAN,Not in use.
